description,rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
"Boston’s first institution of higher education, Boston College is a prominent private Jesuit university located west of the city center in the Chestnut Hill neighborhood. <br>The institution is guided by Jesuit values of faith and service in conjunction with a liberal arts education. There are almost 60 majors across eight schools, some of the most popular being economics, finance and biology. <br>BC is a hub for innovation. The Edmund H. Shea Center for Entrepreneurship has raised more than $100 million in venture backing for companies launched by students and alumni. <br>There are over 300 student organizations and 31 NCAA Division I teams at Boston College. In line with its founding principles, BC’s campus ministry offers service immersion trips around the world. <br>BC Eagles find themselves landing in successful positions. Approximately 68% of the Class of 2020 were employed and 23% were enrolled in graduate school.",42,Boston College,MA,16502,Urban,132000.0,-71.164564,42.326095,http://www.bc.edu,(617) 552-8000,Chestnut Hill,United States,Massachusetts,Northeast,1863.0,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,14,16502,10748,48015609.0,56.0,45.0
"Located in Texas’s vibrant capital, the University of Texas, Austin, is a large research institution and the flagship of Texas’s public university system. <br>The university offers more than 170 majors across 13 schools, but UT-Austin is best known academically for its business and engineering programs. <br>UT-Austin takes great pride in its athletics—the school has 58 national championships. The men’s swimming and diving, women’s tennis and rowing teams all captured national titles in the 2020-21 school year. <br>The school’s renowned marching band features the 10-foot tall Big Bertha, the largest bass drum in the country. Big Bertha and the band can be seen performing at home football games in front of crowds numbering over 100,000. <br>More than 90 percent of students hail from Texas, but UT-Austin sends graduates worldwide. 31 Rhodes scholars attended the school, as did Academy Award-winning actor Matthew McConaughey and Dell Technologies founder Michael Dell. ",43,"University of Texas, Austin",TX,54243,Urban,127300.0,-97.827889,30.14628,http://www.utexas.edu,512-475-7348,Austin,United States,Texas,South,1883.0,TX,Public,Doctoral Universities: Very High Research Activity,17,54243,42419,42050254.0,66.0,47.0
"Colgate University is a leading liberal arts school located in the small town of Hamilton, NY. <br>All Colgate students complete the same five-class core curriculum by the end of their sophomore years. The courses include surveys on the ancient world, modernity, scientific perspectives and global engagement. <br>Each spring, Colgate hosts Entrepreneur Weekend, which features the school’s own version of Shark Tank. Student entrepreneurs pitch alumni sharks for cash prizes. <br>The Colgate Maroon-News, the university’s student newspaper, dates back to 1868. Journalist Bob Woodruff is a Maroon-News alumnus. <br>13 is Colgate’s lucky number: In 1819, 13 Baptist men started the university with $13 and 13 prayers. ",44,Colgate University,NY,3112,Rural,154400.0,-75.536415,42.821191,http://www.colgate.edu,(315) 228-7000,Hamilton,United States,New York,Northeast,1819.0,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,3112,3098,16450893.0,50.0,42.0
"The California Institute of Technology—commonly known as Caltech—is a cutting edge private research university in Pasadena, CA. <br>With more than 50 research centers and institutes (including five NASA facilities) over 80% of students conduct research during their undergraduate career. The WAVE Fellows program allows students from underrepresented groups to partake in additional summer research. <br>The institution boasts one of the nation’s lowest student-to-faculty ratios at three-to-one. Students have unparalleled access to world-renowned faculty members, some of whom have received the National Medal of Science and the Nobel Prize. <br>There are no merit-based scholarships at Caltech, all scholarships are need-based. <br>“Techers” find their place in Caltech’s tight-knit community through sit-down dinners with residence hallmates, taking part in a NCAA DIII sport, or playing in a campus band.",45,California Institute of Technology,CA,2319,Urban,164600.0,-118.125942,34.135911,http://www.caltech.edu,(626) 395-6811,Pasadena,United States,California,West,1891.0,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,2319,967,6455026.0,74.0,57.0
"Known for its strong STEM programs and arts education, Carnegie Mellon University is a leading research institution in Pittsburgh, PA. <br>More than 100 research centers and institutes call Carnegie Mellon home, an environment that has helped produce 20 Nobel Laureates. <br>The Carnegie Mellon College of Fine Arts graduates top actors—including Ted Danson and Hamilton’s Leslie Odom Jr—and experts in design, production and direction. <br>For the business-minded, the Swartz Center for Entrepreneurship houses 10 startups founded by Carnegie Mellon students and faculty. <br>Carnegie Mellon alumni range from renowned artists to technological pioneers. Graduates include artist Andy Warhol and Java programming language founder James Gosling. ",46,Carnegie Mellon University,PA,15567,Urban,152500.0,-79.943067,40.444639,http://www.cmu.edu,412-268-2082,Pittsburgh,United States,Pennsylvania,Northeast,1900.0,PA,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,15567,7034,29629565.0,60.0,50.0
"Located just outside of Los Angeles, Claremont McKenna is a small private college that provides students an intimate, rich liberal arts experience. <br>Students have robust extracurricular lives: 94% take part in internships and 75% conduct research with faculty members. The Marian Miner Cook Athenaeum hosts prominent speakers four nights a week throughout the academic year. <br>Students can choose from 33 majors, the most popular being economics, government, psychology, computer science, international relations and philosophy. As a member of the Claremont College consortium, students can cross-register for courses at Pomona, Scripps, Pitzer and Harvey Mudd colleges. <br>As a result of the Covid-19 pandemic, CMC has a test-optional admissions policy for Fall 2022 applicants. Admission is need-blind and emphasizes leadership. <br>Six months after graduation, 93% of the Class of 2020 were employed or in graduate school.",47,Claremont McKenna College,CA,1361,Suburban,161700.0,-117.706769,34.102632,http://www.claremontmckenna.edu,(909) 621-8088,Claremont,United States,California,West,1946.0,CA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1361,1358,7863809.0,51.0,44.0
"Located in the town of Brunswick, ME, Bowdoin is a small, private college that provides students a tight-knit community and a comprehensive liberal arts education. <br>Bowdoin offers over 40 majors across 23 departments, with its most popular programs in government and legal studies, economics and mathematics. <br>Students declare a major in the spring of sophomore year. In the first two years, they complete a core curriculum, including a writing seminar and courses in mathematical reasoning, natural sciences, social differences, international perspective and performing arts. <br>Students make the most of Maine with activities like alpine skiing, rowing and curling, and an annual lobster bake to kick off the academic year. <br>Within one year of graduating, about 75% of graduates are employed, and over 15% are pursuing further education.",48,Bowdoin College,ME,1973,Rural,145600.0,-69.963975,43.906764,http://www.bowdoin.edu,(207) 725-3000,Brunswick,United States,Maine,Northeast,1794.0,ME,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1973,1973,12574545.0,58.0,52.0
"The University of Wisconsin, Madison, is the state’s public university flagship campus and one of the largest research universities in the country. The university offers more than 200 undergraduate majors, including renowned programs in many engineering fields. <br>UW-Madison’s campus spans 938 acres between Lake Mendota and Lake Monona. It has been ranked as one of the most beautiful college campuses. <br>The university spent almost $1.3 billion on research in 2019. UW-Madison offers many opportunities for undergraduate research, either for students’ individual projects or faculty-sponsored research.  <br>The Badgers play in NCAA Division I teams, most of which are in the Big Ten Conference. Wisconsin has a major football rivalry with the University of Minnesota, and plays against them every year for the Paul Bunyan axe trophy.The university offers many scholarship opportunities for undergraduate students. ",49,"University of Wisconsin, Madison",WI,47831,Urban,117100.0,-89.386694,43.07295,http://www.wisc.edu,(608) 263-2400,Madison,United States,Wisconsin,Midwest,1848.0,WI,Public,Doctoral Universities: Very High Research Activity,16,47831,35038,35532250.0,58.0,47.0
"A midsize private university in Winston-Salem, NC, Wake Forest encourages students to engage with the community while earning a liberal arts education. <br>WFU has 45 undergraduate majors and encourages hands-on learning through research and service opportunities. Providing a global mindset is also critical to a WFU education. Students can study abroad in residential-academic houses in Vienna, Venice and London, as well as study at the university’s Washington, D.C. center. <br>Students stay busy outside of the classroom with more than 250 student organizations. The Wake Forest Demon Deacons play in the NCAA Division I Atlantic Coast Conference. <br>The university offers several generous merit scholarships, like the Guy T. Carswell, Joseph G. Gordon and Graylyn Scholarships, all of which offer awards of full tuition and room and board. <br>Susan Wente began her tenure as the 14th president of the university in July. She is Wake Forest’s first female president.",50,Wake Forest University,NC,9266,Urban,135300.0,-80.27403,36.136824,http://www.wfu.edu,336.758.5201,Winston-Salem,United States,North Carolina,South,1834.0,NC,Private not-for-profit,Doctoral Universities: High Research Activity,11,9266,5445,22194015.0,44.0,34.0
"A “Little Ivy,” Wesleyan University is a small and selective liberal arts school in Middletown, CT. <br>Wesleyan emphasizes creativity and flexibility in its students. The school has an open curriculum, allowing students to choose freely from over 900 classes and 45 majors. <br>The school’s “No Loan” initiative will begin this fall, removing loans from financial aid packages for students entering in 2021 and beyond. <br>Wesleyan’s sports teams compete in the Division III’s New England Small College Athletic Conference (NESCAC). For students not on a varsity team, there are more than 250 student organizations and more than 30 club and intramural sports. <br>Notable Wesleyan alumni include New England Patriots head coach Bill Belichick and Hamilton creator Lin-Manuel Miranda.",51,Wesleyan University,CT,3599,Urban,143100.0,-72.657422,41.556899,http://www.wesleyan.edu,860-685-3000,Middletown,United States,Connecticut,Northeast,1831.0,CT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,3599,3295,16805707.0,48.0,41.0
"The oldest public university in Texas, Texas A&M is a large research institution with a flagship campus in College Station, TX. <br>Texas A&M offers its students more than 130 majors across 17 academic schools. The College of Engineering is the largest school on campus and houses top programs in petroleum engineering and nuclear engineering, true to A&M’s Texas energy roots. <br>Texas A&M’s Aggies compete athletically in the Southeastern Conference and have claimed national championships in many sports, including women’s basketball and men’s and women’s track and field. <br>“Aggie Rings” are commonly worn by graduates of Texas A&M to showcase the school’s large alumni network. A three-ton bronze replica of a massive Aggie Ring is displayed prominently at the campus’s alumni center. <br>Notable Texas A&M alumni include former Texas Governor Rick Perry, Super Bowl MVP Von Miller and Saudi Aramco Chairman Khalid Al-Falih. ",52,"Texas A&M University, College Station",TX,73308,Urban,129900.0,-96.361139,30.55207,http://www.tamu.edu,979-845-3211,College Station,United States,Texas,South,1876.0,TX,Public,Doctoral Universities: Very High Research Activity,19,73308,56517,68974651.0,81.0,64.0
"Hamilton College, a small private school in Clinton, NY, emphasizes experiential learning to provide its students a holistic liberal arts education. <br>Hamilton offers 44 majors (known as concentrations) and features an open curriculum, allowing students to choose courses based on interests and skills rather than completing a core curriculum. <br>Approximately 81% of Hamilton’s seniors graduated with at least two internships under their belts. Each summer, over 100 students receive research grants. <br>The Hamilton community isn’t limited to the town of Clinton: About two-thirds of Hamilton students take part in off-campus study. Hamilton offers programs in New York City, Boston, China, France and Spain. <br>The Class of 2020 has seen success following graduation. 96% of respondents are employed, in graduate school or are participating in a fellowship.",53,Hamilton College,NY,2085,Suburban,125900.0,-75.404593,43.050328,http://www.hamilton.edu/index.cfm,(315) 859-4011,Clinton,United States,New York,Northeast,1812.0,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2085,2085,12642477.0,61.0,55.0
"Boston University is a large, private research university located in the heart of the city. With more than 300 academic programs to choose from, students are offered a wealth of opportunities and resources.<br>In the 2020 fiscal year, BU reported $574.1 million in research awards. Undergraduates can conduct research as a volunteer, for credit or through a special program funded by the Undergraduate Research Opportunities Program. <br>Outside of the city’s offerings, BU hosts over 450 student organizations on campus, including Greek life. Housing is guaranteed for all four years. <br>BU offers merit scholarships, including the Trustee Scholarship, which covers full tuition and fees. The university is one of the newest Questbridge partner schools, offering full scholarships to low-income students. <br>Notable graduates include civil rights activist Martin Luther King, Jr. and actress Julianne Moore.",54,Boston University,MA,42047,Urban,134000.0,-71.098846,42.350173,http://www.bu.edu,617-353-2300,Boston,United States,Massachusetts,Northeast,1839.0,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,42047,22674,68722830.0,53.0,48.0
"Middlebury College is a small private liberal arts college in Middlebury, VT, that offers 45 majors in humanities, foreign languages, cultural studies, natural sciences and social sciences. <br>Middlebury is committed to meeting 100% of students’ demonstrated financial need, and has need-blind admission for domestic students. The average grant covers 90% of the cost of tuition. <br>The 350-acre campus is situated between the Adirondack and Green Mountains. Because of its location, students enjoy outdoor activities and clubs. <br>More than half of each junior class studies abroad through affiliated and externally sponsored programs in more than 50 countries. <br>Brian Deese, senior economic advisor to President Joe Biden, is an alumnus of the school. Former Vermont Governor James H. Douglass also graduated from Middlebury.",55,Middlebury College,VT,4616,Rural,138100.0,-73.167117,44.014999,http://www.middlebury.edu,802-443-3000,Middlebury,United States,Vermont,Northeast,1800.0,VT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,4616,3833,12382994.0,43.0,41.0
"A private Jesuit university in Santa Clara, CA, the school’s College of Arts & Sciences, School of Engineering, and the distinguished Leavey School of Business provide more than 50 undergraduate programs offered on a quarterly academic calendar. <br>The university is home to several professional centers, like the Miller Center for Social Entrepreneurship and Frugal Innovation Hub, where students and faculty partner with humanitarian organizations and accelerate entrepreneurship. <br>SCU provides financial aid to 73% of students. The university also offers specialized grants, such as an award for undergraduate first-years who attended a Jesuit high school. <br>Mozilla cofounder Brandan Eich, Branch Metrics CEO Alex Austin and Seinfeld producer Andy Ackerman all graduated from Santa Clara University.",56,Santa Clara University,CA,9509,Urban,157200.0,-121.937018,37.351709,http://www.scu.edu,(408) 554-4000,Santa Clara,United States,California,West,1851.0,CA,Private not-for-profit,Doctoral/Professional Universities,11,9509,5982,24279772.0,74.0,69.0
"Brigham Young, a large private research university founded by The Church of Jesus Christ of Latter-day Saints, aims to be intellectually enlightening and spiritually strengthening. <br>Popular programs from BYU’s 180 majors include business, biology, social sciences and health sciences. <br>In accordance with church guidance, students are barred from premarital and same-sex sex, as well as alcohol, coffee and tobacco. Students lives in sex-separated housing. <br>Tuition is cheaper for students who are members of The Church of Jesus Christ of Latter-day Saints. Students who are not members pay twice the amount. BYU offers some merit scholarships, ranging up to full tuition. <br>Notable alumni include US Senator Mitt Romney and Twilight author Stephenie Meyer.",57,Brigham Young University,UT,39086,Urban,131700.0,-111.656874,40.250622,http://www.byu.edu,(801) 422-1211,Provo,United States,Utah,West,1875.0,UT,Private not-for-profit,Doctoral Universities: High Research Activity,21,39086,35850,17270324.0,71.0,54.0
"﻿Purdue is a large public research university In West Lafayette, IN, particularly known for its engineering, nursing and pharmacy programs. <br>The university has a strong STEM focus. There are more than 400 research labs on campus, and 26 percent of students major in engineering. <br>A recent $10 million grant from the National Science Foundation will sponsor a new Anvil supercomputer on campus, bolstering Purdue’s long tradition of supercomputing. <br>The Purdue Boilermakers compete in the Big Ten Conference. Mackey Arena, the home of Purdue’s basketball teams, was one of the host arenas for the 2021 NCAA men’s basketball tournament. <br>The first man to walk on the Moon, Neil Armstrong, is a Purdue alumnus. 25 other Purdue alumni have followed in Armstrong’s footsteps and been to outer space.",58,Purdue University,IN,49027,Urban,119100.0,-86.914454,40.429296,http://www.purdue.edu,765-494-1776,West Lafayette,United States,Indiana,Midwest,1869.0,IN,Public,Doctoral Universities: Very High Research Activity,13,49027,36989,36667214.0,61.0,42.0
"Washington and Lee University is a private liberal arts institution in Lexington, VA. The university is home to the prestigious Williams School of Commerce, Economics, and Politics. The university’s calendar operates on two thirteen-week terms on campus, and a four-week spring term  off campus. <br>Students are held accountable by a strict honor system defined by the students themselves. Students who lie, cheat or steal are sanctioned with expulsion.<br>When surveyed six months after graduation, 76% of Class of 2018 students reported being employed and 21% responded that they were attending graduate school. <br>The university holds a Mock Convention simulation to predict presidential nominations. Though the convention incorrectly predicted that Bernie Sanders would be the 2020 Democratic nominee for president, they correctly predicted Donald Trump would be the 2016 GOP nominee for president. <br>W&L will meet 100% of demonstrated financial need through grants and student employment.",59,Washington and Lee University,VA,2269,Rural,152300.0,-79.443623,37.786248,http://www.wlu.edu,(540) 458-8400,Lexington,United States,Virginia,South,1749.0,VA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,2269,1865,12997151.0,67.0,60.0
"New York University is a large private research university in the heart of New York City’s West Village. <br>NYU offers over 270 areas of study, including highly regarded undergraduate programs in the fine arts, business, nursing and dentistry. Visual and Performing arts degrees from the Tisch School of the Arts are amongst the school’s most popular. <br>Studying abroad is central to many NYU students’ experience. The university sends more students abroad than any other American university and has two satellite campuses in Abu Dhabi and Shanghai, and 11 other study away sites around the world. <br>Like the city, NYU prides itself on diversity. Approximately 31% of the Class of 2024 are international students, 20% are Asian, 15% are Hispanic/Latino and 7% are Black. <br>Following graduation, approximately 95% of the Class of 2019 respondents were employed or in graduate school.",60,New York University,NY,58361,Urban,136900.0,-73.997189,40.729844,http://www.nyu.edu,(212) 979-8784,New York,United States,New York,Northeast,1831.0,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,58361,29633,98732499.0,65.0,60.0
"A short walk from the National Mall in Washington, D.C., George Washington University is the largest research institution in the city and has produced numerous prominent figures in government and business. <br>GW’s Elliott School of International Affairs is highly regarded as a top school for careers in government and the social sciences. The university offers more than 75 majors to choose from. <br>Students are able to participate in undergraduate research and entrepreneurship across different disciplines, and can publish in several faculty- and peer-reviewed undergraduate publications. <br>Students are encouraged to study abroad through a variety of programs in countries such as Chile, Spain and France or through exchange and independent study in many other countries. <br>Prior to fall 2020, undergraduate tuition was fixed for up to 10 semesters. The cost of tuition increased about 2% for the 2021-22 academic year. About 94% of applicants with financial need receive aid.",61,George Washington University,DC,32209,Urban,139600.0,-76.973533,38.903034,http://www.gwu.edu,202-994-1000,Washington,United States,District of Columbia,Northeast,1821.0,DC,Private not-for-profit,Doctoral Universities: Very High Research Activity,13,32209,13980,63297253.0,72.0,71.0
"A member of the Little Ivies, Trinity College is a small liberal arts school in Hartford, CT, with a rich history dating back to its founding in 1823. <br>Trinity’s Human Rights Program was the first to be offered at a liberal arts college in the United States. The program offers courses, internships and research opportunities on human rights issues. <br>There are 41 majors at Trinity, the most popular majors being Economics and Political Science. The school also offers signature study abroad programs in Cape Town, Rome, Shanghai and Vienna. <br>Trinity fields 30 Division III varsity teams in the New England Small College Athletic Conference (NESCAC), and 40% of students compete in a varsity or club sport. <br>More than 90% of undergraduates live on campus. The campus features iconic Gothic Architecture and a 163-foot chapel designed by the architect who designed the National Cathedral in Washington. D.C. ",62,Trinity College (CT),CT,2372,Urban,131100.0,-72.693036,41.750228,http://www.trincoll.edu/Pages/default.aspx,(860) 297-2000,Hartford,United States,Connecticut,Northeast,1823.0,CT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2372,2311,14881471.0,56.0,51.0
"San Diego State University is a public university that aims to give students a global, research-oriented education. <br>There are about 95 majors for undergraduates at San Diego State, with the most popular major by far being business administration. Psychology, mechanical engineering and economics are also prominent. <br>The university hosts more than 300 clubs and organizations on campus, including 46 recognized Greek life chapters. Students enjoy various traditions at San Diego State, such as Aztec Nights, a series of late night movie screenings and a campus carnival. <br>San Diego State offers nearly 700 scholarship opportunities for students, including a $7,500 to $10,000 merit scholarship for first-year students.  <br>SDSU spends about $134 million annually on research. More than 90 SDSU students have received Fulbright awards since 2005.",63,San Diego State University,CA,38336,Urban,114000.0,-117.071913,32.772283,http://www.sdsu.edu,619-594-5200,San Diego,United States,California,West,1897.0,CA,Public,Doctoral Universities: High Research Activity,27,38336,33077,23021824.0,61.0,47.0
"One of the oldest public universities in the country, the University of Georgia in Athens is the flagship institution of Georgia’s higher education system. UGA’s main campus spans 762 acres and 465 buildings. <br>The university offers more than 100 undergraduate degrees across 18 schools and colleges. The most popular majors at UGA are finance, computer science, psychology and biology. The Odum School of Ecology is the only school in the U.S. solely devoted to ecological research. <br>The Georgia Bulldogs compete in 19 NCAA Division I varsity teams, including an elite football program that has earned 15 SEC championship titles. <br>UGA has 65 registered fraternity and sorority chapters. There are more than 600 clubs and organizations for students to be a part of, from campus magazines to faith groups and fishing clubs. <br>Last year UGA awarded more than $3.5 million in academic scholarships and awards to undergraduate students. The university awards numerous merit scholarships and fellowships to first-year students, including international students.",64,University of Georgia,GA,42941,Urban,113900.0,-83.393519,33.925215,http://www.uga.edu,(706) 542-3000,Athens,United States,Georgia,South,1785.0,GA,Public,Doctoral Universities: Very High Research Activity,17,42941,32702,56378523.0,92.0,90.0
"Founded in 1946 to educate World War II veterans, Binghamton University is a large public institution in the New York system located in the upstate city of Binghamton. <br>Binghamton’s famous accelerated programs allow students to graduate in five years with a bachelor’s and master’s degree across numerous disciplines. <br>The university is a part of the NYS STEM Incentive Program, which awards full-tuition scholarships to New York state residents that pursue STEM degrees. <br>Binghamton is home to numerous residential learning communities for interest groups such as Politics, Law and Society and Computers, Robotics and Engineering. <br>About half of Binghamton’s Class of 2020 entered the workforce and half pursued further education after graduation. Of those working, the reported average starting salary was $61,635. ",65,"Binghamton University, SUNY",NY,19660,Suburban,126900.0,-75.911271,42.098687,http://www.binghamton.edu,(607) 777-2171,Binghamton,United States,New York,Northeast,1946.0,NY,Public,Doctoral Universities: Very High Research Activity,19,19660,15293,17163693.0,76.0,60.0
"Baruch College, part of the City University of New York system, takes advantage of its location in Midtown Manhattan to build on its strengths in business and innovation. <br>Baruch is home to the Zicklin School of Business. Finance, accounting and marketing are the most popular fields of study. <br>Known for its unique vertical campus, Baruch is stacked with classrooms, performing arts centers, a student activity center and a food court. Students can take part in over 130 clubs — but no Greek life, which has been put on hold until May 2024 — and civic engagement opportunities. <br>The student body’s diversity is reflective of New York City, with racial and ethnic minorities making up 68% of the undergraduate population, and 36% identify as first generation. Over 80% of students are from households with income less than $40,000. <br>Top employers of Baruch graduates are banks like JP Morgan and PricewaterhouseCoopers.",66,"CUNY, Baruch College",NY,22599,Urban,121000.0,-73.983628,40.740725,http://www.baruch.cuny.edu,646-312-1000,New York,United States,New York,Northeast,1847.0,NY,Public,Master's Colleges & Universities: Larger Programs,20,22599,18794,19467236.0,91.0,91.0
"Florida State University, one of the state’s large public research institutions, is known for its student-athlete teams, vibrant social life and achievements in research. The main campus in Tallahassee, FL, spans 486 acres. <br>FSU offers undergraduate research programs in many fields, from clinical and biomedical studies in the College of Medicine to deep studies of social justice. <br>Students may choose from 106 majors across 16 different colleges. The most popular majors at FSU are finance, psychology, marketing, biology and political science. <br>There are about 700 student organizations, including more than 50 fraternity and sorority chapters. <br>The Seminoles play in 18 Division I teams in the NCAA Atlantic Coast Conference. Florida State has won 17 national championships across nine sports and 80 ACC team championships in 14 sports.",67,Florida State University,FL,47836,Urban,105400.0,-84.210779,30.38673,http://www.fsu.edu,850-644-2525,Tallahassee,United States,Florida,South,1851.0,FL,Public,Doctoral Universities: Very High Research Activity,21,47836,36789,66632849.0,96.0,95.0
"A large research institution with robust academics and school spirit, the University of Minnesota, Twin Cities is the flagship of Minnesota’s public university system. <br>The U of M offers more than 150 majors, with popular programs in biology, social sciences and engineering. <br>Students receive many opportunities for experiential learning and research. Undergraduate mentors have won accolades like Guggenheim Fellowships, MacArthur Fellowships and Nobel Prizes. <br>A founding member of the Big Ten conference, the Gophers have a rich sports scene. Students receive free admission to non-football, men's hockey and men's basketball events. <br>The university offers a number of merit scholarships, and no extra application is required. The Promise Plus Free Tuition Program provides free tuition to Minnesota residents whose families have incomes below $50,000.",68,"University of Minnesota, Twin Cities",MN,63760,Urban,117400.0,-93.233867,44.97598,http://www.umn.edu,(612) 625-2008,Minneapolis,United States,Minnesota,Midwest,1851.0,MN,Public,Doctoral Universities: Very High Research Activity,17,63760,46135,40287982.0,80.0,61.0
"Davidson is a private liberal arts college in Davidson, NC, that offers students 31 majors and the chance to design their own interdisciplinary major. Students sign a strict honor code to refrain from cheating, stealing or lying about college business. <br>74% of graduates pursue research or an internship, while 78% of students graduate with study abroad experience. The college offers over 150 abroad programs in more than 50 countries. <br>Through The Davidson Trust, the college is able to meet 100% of students’ calculated financial need. Admissions is need-blind for domestic students and permanent U.S. residents. <br>Davidson offers more than 200 student organizations, 15 Greek life chapters and 14 club sports. The Davidson Wildcats compete in 19 NCAA Division I sports.",69,Davidson College,NC,2022,Suburban,134700.0,-80.84922,35.497841,http://www.davidson.edu,(704) 894-2000,Davidson,United States,North Carolina,South,1837.0,NC,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2022,2022,14618699.0,69.0,66.0
"North Carolina State University, Raleigh is a large public research institution in the heart of the bustling state capital of Raleigh. <br>NC State places a heavy focus on STEM education. More than a quarter of students study engineering, and biology, agriculture and computer science are also popular. <br>While male students haven’t been required to participate in ROTC since 1965, ROTC programs remain popular at the school today. NC State is home to the largest Naval ROTC unit in North Carolina. <br>NC State students can enjoy all that Raleigh has to offer, whether that’s enjoying downtown’s nightlife scene, watching the NHL’s Carolina Hurricanes play at PNC Arena a few miles down the road or trying some of the region’s famous barbeque scene. <br>Notable NC State alumni include former senator and vice presidential candidate John Edwards, actor Zach Galifianakis and Nobel Prize winner Rajendra K. Pachauri. ",70,"North Carolina State University, Raleigh",NC,40537,Urban,119700.0,-78.642669,35.78551,http://www.ncsu.edu,(919) 515-2011,Raleigh,United States,North Carolina,South,1887.0,NC,Public,Doctoral Universities: Very High Research Activity,14,40537,28869,26722487.0,68.0,52.0
"A prestigious women’s college in New York City, Barnard is dedicated to empowering young women through a liberal arts education. <br>Barnard offers approximately 50 majors. Known for its rigorous academics, the first year experience includes a two-semester sequence of intensive seminar classes. Academics at Barnard culminate in a senior thesis project. <br>Students can take classes and accelerated degree programs in partnership with Columbia University. Although there are over 80 separate clubs at Barnard, students are able to use Columbia’s facilities and participate in its extracurricular activities. <br>Barnard considers admission for applicants who identify as women, regardless of the gender assigned to them at birth. <br>The college itself does not offer merit scholarships, but Barnard is one of the newest Questbridge partner schools, offering full scholarships to low-income students. <br>Alumni include anthropologist Margaret Mead, novelist Zora Neale Hurston, Martha Stewart and the late comedian Joan Rivers.",71,Barnard College,NY,2771,Urban,131500.0,-73.962972,40.809471,http://barnard.edu,(212) 854-5262,New York,United States,New York,Northeast,1889.0,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2771,2771,11767093.0,48.0,40.0
"Located in Virginia’s capital, the University of Richmond emphasizes hands-on experiences and a liberal arts education. <br>The university offers about 90 majors, minors and concentrations. UR is home to five schools, including the Jepson School of Leadership Studies, the nation’s first undergraduate school of leadership studies. <br>Students at UR are offered the “Richmond Guarantee,” which supplies undergraduates with up to $4,000 for a summer internship or faculty-mentored research project. <br>There are many extracurricular opportunities at UR, including almost 200 organizations and Greek life. 17 teams at UR compete in NCAA Division I athletics in the Atlantic 10 conference. <br>Virginians with family income less than $60,000 receive full scholarships. The university also offers the Richmond Scholars Program, which covers full tuition, room and board to 25 incoming students.",72,University of Richmond,VA,4534,Urban,123100.0,-77.539491,37.573622,http://www.richmond.edu,(804) 289-8640,Richmond,United States,Virginia,South,1830.0,VA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,4534,3672,21595216.0,66.0,59.0
"A premier liberal arts school in Poughkeepsie, NY, Vassar was founded as a women’s college in 1861 before becoming coeducational in 1969. <br>Vassar prides itself on being an academic pioneer. The school was the first American college to offer a cognitive science major and among the first to offer classes in drama, psychology and Russian. <br>The Vassar library system contains over a million volumes and boasts the iconic Thompson Library, a stunning Gothic building with stained glass windows. <br>Much of Vassar’s 1,000 acre campus is occupied by the Farm and Ecological Preserve, which features numerous hiking trails, ponds and wildlife. <br>Many Vassar graduates go on to thrive in the arts, including poet Edna St. Vincent Millay, actors Meryl Streep and Lisa Kudrow and Flickr cofounder Caterina Fake.",73,Vassar College,NY,2591,Suburban,124800.0,-73.897898,41.68544,http://www.vassar.edu,(845) 437-7000,Poughkeepsie,United States,New York,Northeast,1861.0,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,2591,2591,19524983.0,64.0,58.0
